Date,Time,HomeTeam,AwayTeam,FTR,HomePoints,AwayPoints,FTR_numerical,HT_form_points_5,AT_form_points_5,HT_h2h_points_5,AT_h2h_points_5
2023-11-26,10:30,Kayserispor,Ad. Demirspor,D,1,1,0,2.4,1.6,0.0,0.0
2023-11-26,13:00,Antalyaspor,Rizespor,D,1,1,0,1.8,1.2,0.0,0.0
2023-11-27,17:00,Buyuksehyr,Pendikspor,H,3,0,1,1.0,1.8,0.0,0.0
2023-11-27,17:00,Sivasspor,Trabzonspor,D,1,1,0,1.4,2.0,0.0,0.0
2023-12-01,17:00,Hatayspor,Antalyaspor,D,1,1,0,0.6,2.0,0.0,0.0
2023-12-01,17:00,Karagumruk,Istanbulspor,H,3,0,1,1.6,0.6,0.0,0.0
2023-12-02,10:30,Alanyaspor,Konyaspor,D,1,1,0,0.0,0.8,0.0,0.0
2023-12-02,13:00,Rizespor,Buyuksehyr,H,3,0,1,0.8,1.0,0.0,0.0
2023-12-02,16:00,Ad. Demirspor,Samsunspor,A,0,3,2,1.2,1.2,0.0,0.0
2023-12-02,16:00,Pendikspor,Galatasaray,A,0,3,2,1.8,2.4,0.0,0.0
2023-12-03,13:00,Trabzonspor,Kayserispor,A,0,3,2,2.2,2.6,0.0,0.0
2023-12-03,10:30,Kasimpasa,Gaziantep,H,3,0,1,1.2,1.8,0.0,0.0
2023-12-03,16:00,Ankaragucu,Besiktas,D,1,1,0,1.4,1.8,0.0,0.0
2023-12-04,17:00,Fenerbahce,Sivasspor,H,3,0,1,2.0,1.0,0.0,0.0
2023-12-08,17:00,Galatasaray,Ad. Demirspor,H,3,0,1,2.4,1.2,0.0,0.0
2023-12-09,10:30,Antalyaspor,Karagumruk,H,3,0,1,2.2,1.6,0.0,0.0
2023-12-09,13:00,Samsunspor,Kasimpasa,H,3,0,1,1.8,1.2,0.0,0.0
2023-12-09,16:00,Besiktas,Fenerbahce,A,0,3,2,2.0,2.0,0.0,0.0
2023-12-10,10:30,Istanbulspor,Alanyaspor,A,0,3,2,0.6,0.2,0.0,0.0
2023-12-10,13:00,Buyuksehyr,Hatayspor,H,3,0,1,0.8,0.8,0.0,0.0
2023-12-10,13:00,Kayserispor,Pendikspor,H,3,0,1,2.6,1.2,0.0,0.0
2023-12-10,16:00,Gaziantep,Trabzonspor,A,0,3,2,1.2,1.6,0.0,0.0
2023-12-11,17:00,Ankaragucu,Rizespor,D,1,1,0,1.6,1.4,0.0,0.0
2023-12-11,17:00,Konyaspor,Sivasspor,A,0,3,2,1.0,1.0,0.0,0.0
2023-12-19,17:00,Istanbulspor,Trabzonspor,A,0,3,2,0.6,2.0,0.0,0.0
